day,date,gpp_avg,nee,hetero_resp,auto_resp,cleaf,croot,cstem,cgrain,lai_alloc,litter_cleaf,litter_croot,soc_total,wliq,psi,et_total,cstate_a,cstate_w,cstate_e,cstate_n,cstate_h
1,2026-01-01,1.6281614506371292e-10,-1.3127776342632219e-10,5.2985746703927825e-12,2.6239806966997965e-11,6.792231495228465e-06,5.007964116327708e-06,0.0,0.0,0.00016171979750543964,0.0,0.0,15.999999542203145,0.6108054882382619,-0.00022635986751874071,0.027648282394080695,1.793979091741813,0.20060722823983676,0.10800264433822132,4.787745107220454,9.10966547066282
2,2026-01-02,2.2124119854792282e-10,3.349707080874112e-11,2.1843499013099634e-10,3.6303279225667595e-11,1.5940617434765543e-05,1.1807618473517719e-05,0.0,0.0,0.00037953851035156056,2.7857341941529394e-08,2.738590774228954e-09,15.99998070001593,0.6096992819948478,-0.0002314195162395661,0.0015099888650104273,1.7939820610743151,0.20060290807740236,0.10800210431544667,4.787733497508816,9.10966012903995
3,2026-01-03,2.63731653387182e-10,2.2076509680710082e-10,4.4158931621797234e-10,4.290743397631045e-11,2.6844979344728407e-05,1.9906123654462624e-05,0.0,0.0,0.0006391661748744858,6.948308265115553e-08,6.862383540380178e-09,15.999942623044475,0.6086342599948257,-0.00023635578733737186,0.0014434644295483528,1.7939901560699465,0.20059364689041598,0.10800094642089819,4.787706874721505,9.10965099894171
4,2026-01-04,7.550980074899225e-11,4.181311763589474e-10,4.81443174104502e-10,1.2197803003437629e-11,2.9888897269110874e-05,2.2206469715016022e-05,0.0,0.0,0.0007116404111693066,1.1456557826271633e-07,1.1327042017339621e-08,15.999901152246853,0.6076088900980168,-0.00024116955305367676,0.0004450329925253074,1.7939980226093457,0.20058357740430918,0.10799968689459671,4.787678850691378,9.109641014647224
5,2026-01-05,9.647733819412634e-13,4.1991706356744125e-10,4.2057290818266916e-10,3.089287667134044e-13,2.980891886737571e-05,2.221317557928242e-05,0.0,0.0,0.0007097361635089454,1.1822579423307243e-07,1.1711717991387943e-08,15.9998649446851,0.606619469467789,-0.0002458724811368573,0.031079678073285672,1.7940021457812207,0.20057509706073728,0.10799862562244471,4.7876577397536595,9.109631336467038
6,2026-01-06,1.4576881530592062e-10,3.175797061630487e-10,4.396010831876624e-10,2.374743828130695e-11,3.5763361980407084e-05,2.66742590351231e-05,0.0,0.0,0.0008515086185811211,1.1563148454480613e-07,1.148892150976552e-08,15.99982709027192,0.6056615481482248,-0.00025048075897611533,0.005576803560740895,1.794005656967473,0.20056625784204024,0.10799751899457165,4.787636512143633,9.109621144324201
7,2026-01-07,8.860377409453267e-11,6.423639052662384e-10,7.164170808888258e-10,1.4550598471945223e-11,3.930303120791366e-05,2.9370841636871455e-05,0.0,0.0,0.0009357864573312776,1.472945110056614e-07,1.4648033530961229e-08,15.999765353778676,0.6047349236776093,-0.00025499082466168374,0.0004308319768065715,1.7940142809322255,0.20055086111877504,0.10799559060208203,4.787597011081208,9.109607610044385
8,2026-01-08,1.0353635193425974e-11,6.875544644746993e-10,6.960757314463838e-10,1.8323682217414888e-12,3.957594404712857e-05,2.9657996566230966e-05,0.0,0.0,0.0009422843820744898,1.602068569806453e-07,1.596284079847091e-08,15.999705389005175,0.6038375898961613,-0.0002594081191946056,6.10769159614334e-05,1.794022054883484,0.20053599479553302,0.10799372726982683,4.787559393577736,9.109594218478597
9,2026-01-09,0.0,6.31259045419232e-10,6.310647373589618e-10,1.943080602702288e-13,3.942037200967174e-05,2.9625663705002e-05,0.0,0.0,0.0009385802859445652,1.5557203745683598e-07,1.5544644821618306e-08,15.99965103612855,0.6029672472979822,-0.0002637400222150781,0.0,1.7940271841927042,0.20052277731914386,0.10799206942774076,4.787527704888425,9.109581300300537
10,2026-01-10,0.0,5.912763466061037e-10,5.910880130646325e-10,1.883335414711124e-13,3.9270012274127246e-05,2.9594325003701206e-05,0.0,0.0,0.0009350002922411249,1.5035973554449062e-07,1.5066683317688995e-08,15.99960013155064,0.6021221810547814,-0.0002679914780601247,0.0,1.7940304871406336,0.2005105828911739,0.10799053895213993,4.787499877378995,9.109568645187698
11,2026-01-11,0.0,7.114508745019469e-10,7.11256715983819e-10,1.9415851812792702e-13,3.9115429784631916e-05,2.956201702628472e-05,0.0,0.0,0.0009313197567769504,1.5458248949533026e-07,1.5532681450234164e-08,15.999538849085551,0.6013009229350676,-0.0002721665564349978,0.0,1.7940359911498498,0.20049546339052382,0.10798864029116427,4.78746394262992,9.109554811624093
12,2026-01-12,0.0,8.188546723899193e-10,8.186509782603334e-10,2.0369412958590347e-13,3.895371720427027e-05,2.9528122323121625e-05,0.0,0.0,0.0009274694572445302,1.6171258036164797e-07,1.629553036687228e-08,15.999468295649141,0.6005021313434817,-0.00027626899921770405,0.0,1.7940456538509877,0.2004776292593617,0.10798639914919614,4.78741835069361,9.109540262695985
13,2026-01-13,0.0,9.157368825038681e-10,9.155238837376982e-10,2.1299876616990295e-13,3.878512347633633e-05,2.9492679328430953e-05,0.0,0.0,0.0009234553208651507,1.685937279339422e-07,1.7039901293592238e-08,15.999389380019213,0.5997245769921652,-0.00028030225609072503,0.0,1.7940600699202036,0.20045731670717204,0.10798384438174678,4.7873629645203994,9.109525184489693
14,2026-01-14,0.0,9.669442961031084e-10,9.667262463761845e-10,2.1804972692387663e-13,3.861307226006237e-05,2.945639585387082e-05,0.0,0.0,0.0009193588633348185,1.720512162739587e-07,1.7443978153910132e-08,15.99930604436672,0.5989671305597201,-0.0002842695153564213,0.0,1.7940773686497662,0.20043569494697705,0.10798112226806064,4.787301995956864,9.109509862545053
15,2026-01-15,0.0,1.1019118205450157e-09,1.1016895918770686e-09,2.2222866794705786e-13,3.8438286485395316e-05,2.9419417003524428e-05,0.0,0.0,0.0009151972972713171,1.7478577466705683e-07,1.7778293435764632e-08,15.99921105095005,0.5982287520138221,-0.00028817373070738075,0.0,1.794098534885165,0.20041066004462657,0.10797796711416256,4.7872301928039525,9.109493696102144
16,2026-01-16,0.0,1.3002690711027303e-09,1.3000348630614255e-09,2.3420804130471123e-13,3.825468211714202e-05,2.9380444785451322e-05,0.0,0.0,0.0009108257646938577,1.8360436825329252e-07,1.8736643304376902e-08,15.999098930278894,0.5975084813338049,-0.00029201764458127306,0.0,1.7941292119598735,0.2003804989234374,0.10797416121812743,4.787138407012425,9.10947665116503
17,2026-01-17,0.0,1.3988451975224209e-09,1.3986030478315004e-09,2.421496909204341e-13,3.806550813726724e-05,2.9340151076882162e-05,0.0,0.0,0.0009063216223158866,1.891739798747863e-07,1.937197527363473e-08,15.998978299521516,0.5968054304172624,-0.00029580380861726486,0.0,1.7941663503752572,0.20034778986564225,0.10797002756669258,4.787034859771348,9.109459271942576
